,model,dataset,fold,default_config,tuned_config
0,CatBoost,2dplanes,0,CatBoost_c1_BAG_L1,CatBoost_r97_BAG_L1
1,LightGBM,2dplanes,0,LightGBM_c1_BAG_L1,LightGBM_r40_BAG_L1
2,LinearModel,2dplanes,0,LinearModel_c1_BAG_L1,LinearModel_r46_BAG_L1
3,NeuralNetTorch,2dplanes,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r72_BAG_L1
4,RandomForest,2dplanes,0,RandomForest_c1_BAG_L1,RandomForest_r122_BAG_L1
5,XGBoost,2dplanes,0,XGBoost_c1_BAG_L1,XGBoost_r74_BAG_L1
6,NeuralNetFastAI,2dplanes,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r182_BAG_L1
7,CatBoost,2dplanes,1,CatBoost_c1_BAG_L1,CatBoost_r42_BAG_L1
8,LightGBM,2dplanes,1,LightGBM_c1_BAG_L1,LightGBM_r49_BAG_L1
9,LinearModel,2dplanes,1,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
10,NeuralNetTorch,2dplanes,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r50_BAG_L1
11,RandomForest,2dplanes,1,RandomForest_c1_BAG_L1,RandomForest_r122_BAG_L1
12,XGBoost,2dplanes,1,XGBoost_c1_BAG_L1,XGBoost_r74_BAG_L1
13,NeuralNetFastAI,2dplanes,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r41_BAG_L1
14,CatBoost,2dplanes,2,CatBoost_c1_BAG_L1,CatBoost_r197_BAG_L1
15,LightGBM,2dplanes,2,LightGBM_c1_BAG_L1,LightGBM_r148_BAG_L1
16,LinearModel,2dplanes,2,LinearModel_c1_BAG_L1,LinearModel_r9_BAG_L1
17,NeuralNetTorch,2dplanes,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r70_BAG_L1
18,RandomForest,2dplanes,2,RandomForest_c1_BAG_L1,RandomForest_r122_BAG_L1
19,XGBoost,2dplanes,2,XGBoost_c1_BAG_L1,XGBoost_r30_BAG_L1
20,NeuralNetFastAI,2dplanes,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r112_BAG_L1
21,CatBoost,APSFailure,0,CatBoost_c1_BAG_L1,CatBoost_r3_BAG_L1
22,LightGBM,APSFailure,0,LightGBM_c1_BAG_L1,LightGBM_r128_BAG_L1
23,LinearModel,APSFailure,0,LinearModel_c1_BAG_L1,LinearModel_r15_BAG_L1
24,NeuralNetTorch,APSFailure,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r127_BAG_L1
25,RandomForest,APSFailure,0,RandomForest_c1_BAG_L1,RandomForest_r166_BAG_L1
26,XGBoost,APSFailure,0,XGBoost_c1_BAG_L1,XGBoost_r193_BAG_L1
27,NeuralNetFastAI,APSFailure,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r58_BAG_L1
28,CatBoost,APSFailure,1,CatBoost_c1_BAG_L1,CatBoost_r171_BAG_L1
29,LightGBM,APSFailure,1,LightGBM_c1_BAG_L1,LightGBM_r167_BAG_L1
30,LinearModel,APSFailure,1,LinearModel_c1_BAG_L1,LinearModel_r28_BAG_L1
31,NeuralNetTorch,APSFailure,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r134_BAG_L1
32,RandomForest,APSFailure,1,RandomForest_c1_BAG_L1,RandomForest_r133_BAG_L1
33,XGBoost,APSFailure,1,XGBoost_c1_BAG_L1,XGBoost_r94_BAG_L1
34,NeuralNetFastAI,APSFailure,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r184_BAG_L1
35,CatBoost,APSFailure,2,CatBoost_c1_BAG_L1,CatBoost_r3_BAG_L1
36,LightGBM,APSFailure,2,LightGBM_c1_BAG_L1,LightGBM_r111_BAG_L1
37,LinearModel,APSFailure,2,LinearModel_c1_BAG_L1,LinearModel_r32_BAG_L1
38,NeuralNetTorch,APSFailure,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r134_BAG_L1
39,RandomForest,APSFailure,2,RandomForest_c1_BAG_L1,RandomForest_r104_BAG_L1
40,XGBoost,APSFailure,2,XGBoost_c1_BAG_L1,XGBoost_r171_BAG_L1
41,NeuralNetFastAI,APSFailure,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r93_BAG_L1
42,CatBoost,Amazon_employee_access,0,CatBoost_c1_BAG_L1,CatBoost_r107_BAG_L1
43,LightGBM,Amazon_employee_access,0,LightGBM_c1_BAG_L1,LightGBM_r47_BAG_L1
44,LinearModel,Amazon_employee_access,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
45,NeuralNetTorch,Amazon_employee_access,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r9_BAG_L1
46,RandomForest,Amazon_employee_access,0,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
47,XGBoost,Amazon_employee_access,0,XGBoost_c1_BAG_L1,XGBoost_r53_BAG_L1
48,NeuralNetFastAI,Amazon_employee_access,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r161_BAG_L1
49,CatBoost,Amazon_employee_access,1,CatBoost_c1_BAG_L1,CatBoost_r52_BAG_L1
50,LightGBM,Amazon_employee_access,1,LightGBM_c1_BAG_L1,LightGBM_r93_BAG_L1
51,LinearModel,Amazon_employee_access,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
52,NeuralNetTorch,Amazon_employee_access,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r82_BAG_L1
53,RandomForest,Amazon_employee_access,1,RandomForest_c1_BAG_L1,RandomForest_r119_BAG_L1
54,XGBoost,Amazon_employee_access,1,XGBoost_c1_BAG_L1,XGBoost_r164_BAG_L1
55,NeuralNetFastAI,Amazon_employee_access,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r186_BAG_L1
56,CatBoost,Amazon_employee_access,2,CatBoost_c1_BAG_L1,CatBoost_r89_BAG_L1
57,LightGBM,Amazon_employee_access,2,LightGBM_c1_BAG_L1,LightGBM_r45_BAG_L1
58,LinearModel,Amazon_employee_access,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
59,NeuralNetTorch,Amazon_employee_access,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r106_BAG_L1
60,RandomForest,Amazon_employee_access,2,RandomForest_c1_BAG_L1,RandomForest_r119_BAG_L1
61,XGBoost,Amazon_employee_access,2,XGBoost_c1_BAG_L1,XGBoost_r53_BAG_L1
62,NeuralNetFastAI,Amazon_employee_access,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r161_BAG_L1
63,CatBoost,Australian,0,CatBoost_c1_BAG_L1,CatBoost_r113_BAG_L1
64,LightGBM,Australian,0,LightGBM_c1_BAG_L1,LightGBM_r66_BAG_L1
65,LinearModel,Australian,0,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
66,NeuralNetTorch,Australian,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r25_BAG_L1
67,RandomForest,Australian,0,RandomForest_c1_BAG_L1,RandomForest_r110_BAG_L1
68,XGBoost,Australian,0,XGBoost_c1_BAG_L1,XGBoost_r14_BAG_L1
69,NeuralNetFastAI,Australian,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r168_BAG_L1
70,CatBoost,Australian,1,CatBoost_c1_BAG_L1,CatBoost_r62_BAG_L1
71,LightGBM,Australian,1,LightGBM_c1_BAG_L1,LightGBM_r21_BAG_L1
72,LinearModel,Australian,1,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
73,NeuralNetTorch,Australian,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r148_BAG_L1
74,RandomForest,Australian,1,RandomForest_c1_BAG_L1,RandomForest_r157_BAG_L1
75,XGBoost,Australian,1,XGBoost_c1_BAG_L1,XGBoost_r191_BAG_L1
76,NeuralNetFastAI,Australian,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r41_BAG_L1
77,CatBoost,Australian,2,CatBoost_c1_BAG_L1,CatBoost_r110_BAG_L1
78,LightGBM,Australian,2,LightGBM_c1_BAG_L1,LightGBM_r42_BAG_L1
79,LinearModel,Australian,2,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
80,NeuralNetTorch,Australian,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r135_BAG_L1
81,RandomForest,Australian,2,RandomForest_c1_BAG_L1,RandomForest_r132_BAG_L1
82,XGBoost,Australian,2,XGBoost_c1_BAG_L1,XGBoost_r170_BAG_L1
83,NeuralNetFastAI,Australian,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r102_BAG_L1
84,CatBoost,Bioresponse,0,CatBoost_c1_BAG_L1,CatBoost_r165_BAG_L1
85,LightGBM,Bioresponse,0,LightGBM_c1_BAG_L1,LightGBM_r61_BAG_L1
86,LinearModel,Bioresponse,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
87,NeuralNetTorch,Bioresponse,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r51_BAG_L1
88,RandomForest,Bioresponse,0,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
89,XGBoost,Bioresponse,0,XGBoost_c1_BAG_L1,XGBoost_r100_BAG_L1
90,NeuralNetFastAI,Bioresponse,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r33_BAG_L1
91,CatBoost,Bioresponse,1,CatBoost_c1_BAG_L1,CatBoost_r165_BAG_L1
92,LightGBM,Bioresponse,1,LightGBM_c1_BAG_L1,LightGBM_r61_BAG_L1
93,LinearModel,Bioresponse,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
94,NeuralNetTorch,Bioresponse,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r51_BAG_L1
95,RandomForest,Bioresponse,1,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
96,XGBoost,Bioresponse,1,XGBoost_c1_BAG_L1,XGBoost_r200_BAG_L1
